Bmo_Pep Pra_Pep Bmo_Nscaff Bmo_Nscaff_Pep_Start Bmo_Nscaff_Pep_End Bmo_Chrom Bmo_Nscaf_Order_within_Chrom
BGIBMGA004616-PA pra109.17 nscaf2801 381693 398156 27 27.7
BGIBMGA004618-PA pra125.17 nscaf2801 329072 341738 27 27.7
BGIBMGA004620-PA pra10483.1 nscaf2801 156052 176819 27 27.7
BGIBMGA004620-PA pra20896.1 nscaf2801 156052 176819 27 27.7
BGIBMGA004620-PA pra2144.1 nscaf2801 156052 176819 27 27.7
BGIBMGA004620-PA pra41644.1 nscaf2801 156052 176819 27 27.7
BGIBMGA004621-PA pra1068.19 nscaf2801 29141 41819 27 27.7
BGIBMGA004621-PA pra1548.7 nscaf2801 29141 41819 27 27.7
BGIBMGA004623-PA pra125.1 nscaf2801 207710 211677 27 27.7
BGIBMGA004624-PA pra125.19 nscaf2801 222046 239925 27 27.7
BGIBMGA004625-PA pra125.18 nscaf2801 298156 322325 27 27.7
BGIBMGA004626-PA pra109.16 nscaf2801 477011 485298 27 27.7
BGIBMGA004628-PA pra109.15 nscaf2801 508659 513888 27 27.7
BGIBMGA004629-PA pra109.14 nscaf2801 539636 553936 27 27.7
BGIBMGA004630-PA pra109.10 nscaf2803 14722 15288 U NA
BGIBMGA004631-PA pra109.8 nscaf2804 152690 157555 U NA
BGIBMGA004632-PA pra109.7 nscaf2804 85541 87096 U NA
BGIBMGA004634-PA pra109.9 nscaf2804 135889 137790 U NA
BGIBMGA004635-PA pra104.20 nscaf2808 12702 14927 U NA
BGIBMGA004637-PA pra104.19 nscaf2808 7414 9912 U NA
BGIBMGA004638-PA pra499.17 nscaf2808 17090 19239 U NA
BGIBMGA004639-PA pra313.3 nscaf2809 198824 201732 U NA
BGIBMGA004641-PA pra19005.1 nscaf2809 107633 109019 U NA
BGIBMGA004641-PA pra2068.3 nscaf2809 107633 109019 U NA
BGIBMGA004642-PA pra313.13 nscaf2809 98099 99964 U NA
BGIBMGA004644-PA pra313.18 nscaf2809 84539 85851 U NA
BGIBMGA004645-PA pra313.19 nscaf2809 66747 70799 U NA
BGIBMGA004646-PA pra313.21 nscaf2809 54296 58211 U NA
BGIBMGA004647-PA pra149.10 nscaf2809 59185 66238 U NA
BGIBMGA004647-PA pra313.20 nscaf2809 59185 66238 U NA
BGIBMGA004648-PA pra313.17 nscaf2809 75417 83064 U NA
BGIBMGA004649-PA pra313.16 nscaf2809 86848 89026 U NA
BGIBMGA004650-PA pra313.14 nscaf2809 92668 93814 U NA
BGIBMGA004650-PA pra313.15 nscaf2809 92668 93814 U NA
BGIBMGA004653-PA pra41.31 nscaf2810 518738 519567 11 11.7
BGIBMGA004655-PA pra6.7 nscaf2810 485734 505362 11 11.7
BGIBMGA004656-PA pra6.8 nscaf2810 422176 431475 11 11.7
BGIBMGA004657-PA pra116.31 nscaf2810 363296 366159 11 11.7
BGIBMGA004657-PA pra6.10 nscaf2810 363296 366159 11 11.7
BGIBMGA004658-PA pra313.1 nscaf2810 321132 349378 11 11.7
BGIBMGA004663-PA pra313.2 nscaf2810 178378 184610 11 11.7
BGIBMGA004665-PA pra6.13 nscaf2810 283475 283861 11 11.7
BGIBMGA004666-PA pra6.12 nscaf2810 350941 354472 11 11.7
BGIBMGA004667-PA pra6.11 nscaf2810 358865 363212 11 11.7
BGIBMGA004668-PA pra6.9 nscaf2810 367314 369018 11 11.7
BGIBMGA004670-PA pra1092.9 nscaf2810 523440 525804 11 11.7
BGIBMGA004672-PA pra372.2 nscaf2811 570298 575947 22 22.9
BGIBMGA004673-PA pra637.13 nscaf2811 422471 428160 22 22.9
BGIBMGA004674-PA pra4281.1 nscaf2811 377060 416907 22 22.9
BGIBMGA004674-PA pra6117.1 nscaf2811 377060 416907 22 22.9
BGIBMGA004674-PA pra637.14 nscaf2811 377060 416907 22 22.9
BGIBMGA004677-PA pra1625.1 nscaf2811 227470 230157 22 22.9
BGIBMGA004678-PA pra372.27 nscaf2811 76520 85869 22 22.9
BGIBMGA004678-PA pra372.28 nscaf2811 76520 85869 22 22.9
BGIBMGA004679-PA pra233.6 nscaf2811 46830 48212 22 22.9
BGIBMGA004679-PA pra272.59 nscaf2811 46830 48212 22 22.9
BGIBMGA004679-PA pra547.6 nscaf2811 46830 48212 22 22.9
BGIBMGA004679-PA pra801.4 nscaf2811 46830 48212 22 22.9
BGIBMGA004680-PA pra129.19 nscaf2811 40064 41320 22 22.9
BGIBMGA004681-PA pra129.20 nscaf2811 15831 22633 22 22.9
BGIBMGA004682-PA pra129.21 nscaf2811 6967 11875 22 22.9
BGIBMGA004683-PA pra129.18 nscaf2811 61860 64061 22 22.9
BGIBMGA004683-PA pra209.31 nscaf2811 61860 64061 22 22.9
BGIBMGA004684-PA pra129.15 nscaf2811 69898 75832 22 22.9
BGIBMGA004684-PA pra129.16 nscaf2811 69898 75832 22 22.9
BGIBMGA004684-PA pra129.17 nscaf2811 69898 75832 22 22.9
BGIBMGA004684-PA pra430.12 nscaf2811 69898 75832 22 22.9
BGIBMGA004686-PA pra637.15 nscaf2811 359147 373013 22 22.9
BGIBMGA004687-PA pra637.12 nscaf2811 433009 444987 22 22.9
BGIBMGA004688-PA pra372.23 nscaf2813 504893 516288 22 22.8
BGIBMGA004689-PA pra372.21 nscaf2813 405887 421633 22 22.8
BGIBMGA004690-PA pra372.19 nscaf2813 370690 381709 22 22.8
BGIBMGA004691-PA pra372.16 nscaf2813 313752 333360 22 22.8
BGIBMGA004692-PA pra372.15 nscaf2813 289817 305827 22 22.8
BGIBMGA004693-PA pra372.32 nscaf2813 227945 232441 22 22.8
BGIBMGA004694-PA pra372.10 nscaf2813 200993 203733 22 22.8
BGIBMGA004695-PA pra372.8 nscaf2813 176886 177364 22 22.8
BGIBMGA004697-PA pra372.31 nscaf2813 80505 120403 22 22.8
BGIBMGA004697-PA pra372.7 nscaf2813 80505 120403 22 22.8
BGIBMGA004698-PA pra372.5 nscaf2813 31396 39067 22 22.8
BGIBMGA004699-PA pra372.4 nscaf2813 12737 28394 22 22.8
BGIBMGA004701-PA pra372.6 nscaf2813 71796 75112 22 22.8
BGIBMGA004702-PA pra372.9 nscaf2813 182773 190940 22 22.8
BGIBMGA004702-PA pra484.22 nscaf2813 182773 190940 22 22.8
BGIBMGA004703-PA pra372.11 nscaf2813 204699 205936 22 22.8
BGIBMGA004704-PA pra372.12 nscaf2813 263792 278379 22 22.8
BGIBMGA004706-PA pra372.13 nscaf2813 286390 287817 22 22.8
BGIBMGA004708-PA pra1059.15 nscaf2813 339656 341185 22 22.8
BGIBMGA004708-PA pra1059.16 nscaf2813 339656 341185 22 22.8
BGIBMGA004708-PA pra45.3 nscaf2813 339656 341185 22 22.8
BGIBMGA004710-PA pra372.18 nscaf2813 356822 361800 22 22.8
BGIBMGA004711-PA pra372.20 nscaf2813 399254 405019 22 22.8
BGIBMGA004712-PA pra372.22 nscaf2813 472523 502849 22 22.8
BGIBMGA004713-PA pra372.24 nscaf2813 518992 542031 22 22.8
BGIBMGA004715-PA pra372.25 nscaf2813 556308 558151 22 22.8
BGIBMGA004717-PA pra372.26 nscaf2813 627877 635344 22 22.8
BGIBMGA004718-PA pra431.42 nscaf2813 639938 650927 22 22.8
BGIBMGA004720-PA pra1211.10 nscaf2813 668122 675644 22 22.8
BGIBMGA004720-PA pra1211.12 nscaf2813 668122 675644 22 22.8
BGIBMGA004720-PA pra1211.9 nscaf2813 668122 675644 22 22.8
BGIBMGA004721-PA pra1211.11 nscaf2813 684692 690454 22 22.8
BGIBMGA004723-PA pra372.29 nscaf2813 716585 719489 22 22.8
BGIBMGA004728-PA pra56.45 nscaf2814 421025 435042 22 22.7
BGIBMGA004729-PA pra4642.4 nscaf2814 310151 321806 22 22.7
BGIBMGA004733-PA pra4642.6 nscaf2814 279574 284256 22 22.7
BGIBMGA004734-PA pra4642.5 nscaf2814 295246 297559 22 22.7
BGIBMGA004737-PA pra1432.14 nscaf2815 1690449 1708130 25 25.6
BGIBMGA004737-PA pra1432.15 nscaf2815 1690449 1708130 25 25.6
BGIBMGA004738-PA pra1432.18 nscaf2815 1640667 1643435 25 25.6
BGIBMGA004739-PA pra1432.12 nscaf2815 1628761 1639734 25 25.6
BGIBMGA004740-PA pra1432.11 nscaf2815 1607861 1625389 25 25.6
BGIBMGA004741-PA pra1432.9 nscaf2815 1591442 1593115 25 25.6
BGIBMGA004742-PA pra1432.8 nscaf2815 1586160 1590279 25 25.6
BGIBMGA004743-PA pra1432.6 nscaf2815 1558445 1561200 25 25.6
BGIBMGA004745-PA pra1432.4 nscaf2815 1508547 1518118 25 25.6
BGIBMGA004746-PA pra72.69 nscaf2815 1491779 1492994 25 25.6
BGIBMGA004748-PA pra1432.2 nscaf2815 1306846 1343088 25 25.6
BGIBMGA004749-PA pra1432.1 nscaf2815 1295302 1297191 25 25.6
BGIBMGA004749-PA pra421.8 nscaf2815 1295302 1297191 25 25.6
BGIBMGA004751-PA pra762.2 nscaf2815 1134171 1141020 25 25.6
BGIBMGA004752-PA pra1265.1 nscaf2815 817771 838978 25 25.6
BGIBMGA004752-PA pra1283.1 nscaf2815 817771 838978 25 25.6
BGIBMGA004752-PA pra1370.1 nscaf2815 817771 838978 25 25.6
BGIBMGA004752-PA pra300.3 nscaf2815 817771 838978 25 25.6
BGIBMGA004752-PA pra82.1 nscaf2815 817771 838978 25 25.6
BGIBMGA004752-PA pra82.2 nscaf2815 817771 838978 25 25.6
BGIBMGA004754-PA pra82.6 nscaf2815 251106 257189 25 25.6
BGIBMGA004755-PA pra82.7 nscaf2815 225691 234511 25 25.6
BGIBMGA004756-PA pra82.8 nscaf2815 206140 206922 25 25.6
BGIBMGA004757-PA pra82.9 nscaf2815 167532 169020 25 25.6
BGIBMGA004758-PA pra82.10 nscaf2815 22262 23053 25 25.6
BGIBMGA004765-PA pra82.5 nscaf2815 285759 297391 25 25.6
BGIBMGA004766-PA pra82.3 nscaf2815 372028 376446 25 25.6
BGIBMGA004772-PA pra1432.3 nscaf2815 1503924 1504841 25 25.6
BGIBMGA004773-PA pra1432.5 nscaf2815 1532831 1537839 25 25.6
BGIBMGA004774-PA pra1432.7 nscaf2815 1564084 1576255 25 25.6
BGIBMGA004775-PA pra1432.10 nscaf2815 1596010 1598092 25 25.6
BGIBMGA004776-PA pra1432.13 nscaf2815 1679268 1683903 25 25.6
BGIBMGA004778-PA pra1432.17 nscaf2815 2189031 2226449 25 25.6
BGIBMGA004780-PA pra128.14 nscaf2818 2986609 2988687 25 25.2
BGIBMGA004780-PA pra55.19 nscaf2818 2986609 2988687 25 25.2
BGIBMGA004781-PA pra55.18 nscaf2818 2954257 2963667 25 25.2
BGIBMGA004782-PA pra55.16 nscaf2818 2944267 2946983 25 25.2
BGIBMGA004783-PA pra55.15 nscaf2818 2902286 2918043 25 25.2
BGIBMGA004784-PA pra55.11 nscaf2818 2833240 2838994 25 25.2
BGIBMGA004785-PA pra55.9 nscaf2818 2803839 2813244 25 25.2
BGIBMGA004787-PA pra55.6 nscaf2818 2772631 2778346 25 25.2
BGIBMGA004788-PA pra55.5 nscaf2818 2759902 2769400 25 25.2
BGIBMGA004790-PA pra55.3 nscaf2818 2655622 2673326 25 25.2
BGIBMGA004791-PA pra55.2 nscaf2818 2635545 2645893 25 25.2
BGIBMGA004792-PA pra2325.2 nscaf2818 2591778 2593151 25 25.2
BGIBMGA004794-PA pra2325.1 nscaf2818 2550213 2551877 25 25.2
BGIBMGA004795-PA pra242.2 nscaf2818 2438319 2446041 25 25.2
BGIBMGA004796-PA pra310.10 nscaf2818 2198730 2205923 25 25.2
BGIBMGA004797-PA pra310.8 nscaf2818 2109792 2113829 25 25.2
BGIBMGA004798-PA pra310.7 nscaf2818 2099617 2105069 25 25.2
BGIBMGA004799-PA pra310.5 nscaf2818 2043455 2064130 25 25.2
BGIBMGA004799-PA pra310.6 nscaf2818 2043455 2064130 25 25.2
BGIBMGA004800-PA pra310.4 nscaf2818 2024210 2029825 25 25.2
BGIBMGA004801-PA pra18.39 nscaf2818 1996486 2007642 25 25.2
BGIBMGA004801-PA pra310.3 nscaf2818 1996486 2007642 25 25.2
BGIBMGA004802-PA pra310.2 nscaf2818 1737319 1739092 25 25.2
BGIBMGA004803-PA pra310.1 nscaf2818 1691817 1692449 25 25.2
BGIBMGA004804-PA pra821.14 nscaf2818 1550792 1553405 25 25.2
BGIBMGA004805-PA pra821.9 nscaf2818 1537634 1540045 25 25.2
BGIBMGA004806-PA pra3013.3 nscaf2818 1462392 1501679 25 25.2
BGIBMGA004806-PA pra821.12 nscaf2818 1462392 1501679 25 25.2
BGIBMGA004806-PA pra821.6 nscaf2818 1462392 1501679 25 25.2
BGIBMGA004806-PA pra821.7 nscaf2818 1462392 1501679 25 25.2
BGIBMGA004807-PA pra821.5 nscaf2818 1452960 1460276 25 25.2
BGIBMGA004810-PA pra549.2 nscaf2818 1351249 1356406 25 25.2
BGIBMGA004811-PA pra549.4 nscaf2818 1326994 1329955 25 25.2
BGIBMGA004814-PA pra549.6 nscaf2818 1245355 1248758 25 25.2
BGIBMGA004815-PA pra549.9 nscaf2818 1225375 1232471 25 25.2
BGIBMGA004818-PA pra549.12 nscaf2818 1032278 1033777 25 25.2
BGIBMGA004819-PA pra549.14 nscaf2818 1017573 1020272 25 25.2
BGIBMGA004821-PA pra23758.1 nscaf2818 926066 939513 25 25.2
BGIBMGA004821-PA pra549.16 nscaf2818 926066 939513 25 25.2
BGIBMGA004822-PA pra549.18 nscaf2818 910524 913809 25 25.2
BGIBMGA004823-PA pra549.20 nscaf2818 886588 899544 25 25.2
BGIBMGA004824-PA pra246.34 nscaf2818 873105 875505 25 25.2
BGIBMGA004825-PA pra246.37 nscaf2818 817314 854439 25 25.2
BGIBMGA004827-PA pra246.39 nscaf2818 808138 809255 25 25.2
BGIBMGA004828-PA pra246.43 nscaf2818 681565 682107 25 25.2
BGIBMGA004830-PA pra549.25 nscaf2818 155397 165470 25 25.2
BGIBMGA004830-PA pra549.26 nscaf2818 155397 165470 25 25.2
BGIBMGA004832-PA pra549.24 nscaf2818 124986 150927 25 25.2
BGIBMGA004833-PA pra549.22 nscaf2818 27777 34664 25 25.2
BGIBMGA004834-PA pra246.2 nscaf2818 8549 10569 25 25.2
BGIBMGA004835-PA pra246.3 nscaf2818 390 5793 25 25.2
BGIBMGA004836-PA pra246.1 nscaf2818 12415 23308 25 25.2
BGIBMGA004837-PA pra549.21 nscaf2818 25243 27075 25 25.2
BGIBMGA004838-PA pra549.23 nscaf2818 36688 41964 25 25.2
BGIBMGA004839-PA pra549.27 nscaf2818 179767 183760 25 25.2
BGIBMGA004844-PA pra246.44 nscaf2818 636929 652378 25 25.2
BGIBMGA004844-PA pra549.28 nscaf2818 636929 652378 25 25.2
BGIBMGA004844-PA pra549.29 nscaf2818 636929 652378 25 25.2
BGIBMGA004845-PA pra246.42 nscaf2818 755694 791796 25 25.2
BGIBMGA004846-PA pra246.40 nscaf2818 799323 802441 25 25.2
BGIBMGA004847-PA pra246.38 nscaf2818 810073 811403 25 25.2
BGIBMGA004848-PA pra246.36 nscaf2818 855445 857481 25 25.2
BGIBMGA004849-PA pra246.35 nscaf2818 858860 872056 25 25.2
BGIBMGA004850-PA pra549.19 nscaf2818 907828 908637 25 25.2
BGIBMGA004851-PA pra549.17 nscaf2818 915552 920215 25 25.2
BGIBMGA004852-PA pra549.15 nscaf2818 999386 1008208 25 25.2
BGIBMGA004853-PA pra549.13 nscaf2818 1021371 1021826 25 25.2
BGIBMGA004855-PA pra549.10 nscaf2818 1208095 1212648 25 25.2
BGIBMGA004858-PA pra549.5 nscaf2818 1290563 1309283 25 25.2
BGIBMGA004858-PA pra718.13 nscaf2818 1290563 1309283 25 25.2
BGIBMGA004859-PA pra549.3 nscaf2818 1342427 1350084 25 25.2
BGIBMGA004859-PA pra7.12 nscaf2818 1342427 1350084 25 25.2
BGIBMGA004861-PA pra821.1 nscaf2818 1401702 1417059 25 25.2
BGIBMGA004862-PA pra821.2 nscaf2818 1421139 1423214 25 25.2
BGIBMGA004863-PA pra821.3 nscaf2818 1428275 1429445 25 25.2
BGIBMGA004864-PA pra821.4 nscaf2818 1438269 1442664 25 25.2
BGIBMGA004865-PA pra821.8 nscaf2818 1523939 1532863 25 25.2
BGIBMGA004866-PA pra821.10 nscaf2818 1542284 1548588 25 25.2
BGIBMGA004867-PA pra821.11 nscaf2818 1558856 1563845 25 25.2
BGIBMGA004869-PA pra310.9 nscaf2818 2291081 2292910 25 25.2
BGIBMGA004870-PA pra310.11 nscaf2818 2300726 2304143 25 25.2
BGIBMGA004872-PA pra242.1 nscaf2818 2344100 2369993 25 25.2
BGIBMGA004872-PA pra310.12 nscaf2818 2344100 2369993 25 25.2
BGIBMGA004873-PA pra2325.4 nscaf2818 2611223 2628018 25 25.2
BGIBMGA004873-PA pra55.1 nscaf2818 2611223 2628018 25 25.2
BGIBMGA004874-PA pra55.4 nscaf2818 2744386 2748282 25 25.2
BGIBMGA004875-PA pra55.7 nscaf2818 2781199 2781474 25 25.2
BGIBMGA004876-PA pra55.8 nscaf2818 2784413 2797062 25 25.2
BGIBMGA004877-PA pra55.10 nscaf2818 2815132 2822542 25 25.2
BGIBMGA004879-PA pra55.12 nscaf2818 2842962 2868886 25 25.2
BGIBMGA004880-PA pra55.13 nscaf2818 2877719 2878006 25 25.2
BGIBMGA004882-PA pra55.14 nscaf2818 2891944 2893188 25 25.2
BGIBMGA004884-PA pra55.17 nscaf2818 2951212 2952892 25 25.2
BGIBMGA004886-PA pra55.20 nscaf2818 3150138 3150410 25 25.2
BGIBMGA004887-PA pra1368.1 nscaf2819 131047 155509 25 25.5
BGIBMGA004887-PA pra30.2 nscaf2819 131047 155509 25 25.5
BGIBMGA004888-PA pra143.9 nscaf2819 111191 111694 25 25.5
BGIBMGA004889-PA pra143.5 nscaf2819 70070 74975 25 25.5
BGIBMGA004890-PA pra143.3 nscaf2819 19753 26240 25 25.5
BGIBMGA004891-PA pra143.4 nscaf2819 61675 67732 25 25.5
BGIBMGA004892-PA pra143.7 nscaf2819 77516 87377 25 25.5
BGIBMGA004893-PA pra143.45 nscaf2819 89584 90872 25 25.5
BGIBMGA004894-PA pra143.8 nscaf2819 97923 109101 25 25.5
BGIBMGA004895-PA pra192.39 nscaf2819 120605 125383 25 25.5
BGIBMGA004896-PA pra246.4 nscaf2822 2138219 2144663 25 25.3
BGIBMGA004897-PA pra246.6 nscaf2822 2110314 2118089 25 25.3
BGIBMGA004898-PA pra246.8 nscaf2822 2083355 2092228 25 25.3
BGIBMGA004902-PA pra246.10 nscaf2822 1665762 1674444 25 25.3
BGIBMGA004903-PA pra246.45 nscaf2822 1656481 1660896 25 25.3
BGIBMGA004904-PA pra246.18 nscaf2822 1571237 1574274 25 25.3
BGIBMGA004905-PA pra246.20 nscaf2822 1548510 1563517 25 25.3
BGIBMGA004905-PA pra246.21 nscaf2822 1548510 1563517 25 25.3
BGIBMGA004906-PA pra246.25 nscaf2822 1511644 1532846 25 25.3
BGIBMGA004906-PA pra246.26 nscaf2822 1511644 1532846 25 25.3
BGIBMGA004907-PA pra246.22 nscaf2822 1487229 1506486 25 25.3
BGIBMGA004907-PA pra246.23 nscaf2822 1487229 1506486 25 25.3
BGIBMGA004907-PA pra246.27 nscaf2822 1487229 1506486 25 25.3
BGIBMGA004907-PA pra246.28 nscaf2822 1487229 1506486 25 25.3
BGIBMGA004908-PA pra184.66 nscaf2822 1452928 1456734 25 25.3
BGIBMGA004908-PA pra246.33 nscaf2822 1452928 1456734 25 25.3
BGIBMGA004909-PA pra547.14 nscaf2822 1440375 1450153 25 25.3
BGIBMGA004910-PA pra547.68 nscaf2822 1435870 1436604 25 25.3
BGIBMGA004912-PA pra547.17 nscaf2822 1416113 1416652 25 25.3
BGIBMGA004913-PA pra547.18 nscaf2822 1401101 1403771 25 25.3
BGIBMGA004914-PA pra547.20 nscaf2822 1374570 1379370 25 25.3
BGIBMGA004919-PA pra547.21 nscaf2822 1286727 1289484 25 25.3
BGIBMGA004925-PA pra547.23 nscaf2822 1196653 1200012 25 25.3
BGIBMGA004926-PA pra547.26 nscaf2822 1171369 1172460 25 25.3
BGIBMGA004927-PA pra547.27 nscaf2822 1152554 1161641 25 25.3
BGIBMGA004928-PA pra547.29 nscaf2822 1147780 1149659 25 25.3
BGIBMGA004929-PA pra113.70 nscaf2822 1142277 1144308 25 25.3
BGIBMGA004929-PA pra547.30 nscaf2822 1142277 1144308 25 25.3
BGIBMGA004930-PA pra547.32 nscaf2822 1120808 1125596 25 25.3
BGIBMGA004931-PA pra547.36 nscaf2822 1060059 1060864 25 25.3
BGIBMGA004932-PA pra547.38 nscaf2822 1020486 1040619 25 25.3
BGIBMGA004933-PA pra547.39 nscaf2822 1016097 1016510 25 25.3
BGIBMGA004934-PA pra547.41 nscaf2822 978574 997488 25 25.3
BGIBMGA004935-PA pra547.43 nscaf2822 959911 969620 25 25.3
BGIBMGA004936-PA pra547.48 nscaf2822 928049 931375 25 25.3
BGIBMGA004937-PA pra547.45 nscaf2822 912627 918022 25 25.3
BGIBMGA004939-PA pra547.53 nscaf2822 883277 893866 25 25.3
BGIBMGA004940-PA pra547.55 nscaf2822 846373 855867 25 25.3
BGIBMGA004942-PA pra547.58 nscaf2822 683988 684789 25 25.3
BGIBMGA004943-PA pra547.60 nscaf2822 641318 642358 25 25.3
BGIBMGA004944-PA pra547.62 nscaf2822 598883 609014 25 25.3
BGIBMGA004945-PA pra547.64 nscaf2822 548616 549593 25 25.3
BGIBMGA004945-PA pra617.26 nscaf2822 548616 549593 25 25.3
BGIBMGA004947-PA pra206.15 nscaf2822 354601 367625 25 25.3
BGIBMGA004949-PA pra206.17 nscaf2822 307817 327421 25 25.3
BGIBMGA004950-PA pra206.18 nscaf2822 285569 299145 25 25.3
BGIBMGA004952-PA pra236.16 nscaf2822 199829 214716 25 25.3
BGIBMGA004952-PA pra236.43 nscaf2822 199829 214716 25 25.3
BGIBMGA004952-PA pra236.44 nscaf2822 199829 214716 25 25.3
BGIBMGA004952-PA pra236.45 nscaf2822 199829 214716 25 25.3
BGIBMGA004953-PA pra236.18 nscaf2822 189627 190218 25 25.3
BGIBMGA004955-PA pra1591.26 nscaf2822 14157 25964 25 25.3
BGIBMGA004955-PA pra236.26 nscaf2822 14157 25964 25 25.3
BGIBMGA004956-PA pra1591.28 nscaf2822 3766 5367 25 25.3
BGIBMGA004958-PA pra1591.27 nscaf2822 7751 8797 25 25.3
BGIBMGA004959-PA pra236.25 nscaf2822 28524 39931 25 25.3
BGIBMGA004960-PA pra236.21 nscaf2822 40800 67175 25 25.3
BGIBMGA004960-PA pra236.22 nscaf2822 40800 67175 25 25.3
BGIBMGA004961-PA pra236.20 nscaf2822 169276 169806 25 25.3
BGIBMGA004963-PA pra236.17 nscaf2822 226641 267481 25 25.3
BGIBMGA004964-PA pra206.14 nscaf2822 369126 375134 25 25.3
BGIBMGA004965-PA pra206.12 nscaf2822 398262 400988 25 25.3
BGIBMGA004970-PA pra547.63 nscaf2822 569977 578576 25 25.3
BGIBMGA004971-PA pra547.59 nscaf2822 648139 665725 25 25.3
BGIBMGA004972-PA pra547.57 nscaf2822 787480 797684 25 25.3
BGIBMGA004973-PA pra547.69 nscaf2822 814952 816531 25 25.3
BGIBMGA004974-PA pra406.18 nscaf2822 829439 834357 25 25.3
BGIBMGA004975-PA pra547.56 nscaf2822 840183 844301 25 25.3
BGIBMGA004976-PA pra547.54 nscaf2822 857204 881268 25 25.3
BGIBMGA004977-PA pra547.52 nscaf2822 895632 896917 25 25.3
BGIBMGA004978-PA pra547.46 nscaf2822 904666 905318 25 25.3
BGIBMGA004979-PA pra547.47 nscaf2822 919090 927192 25 25.3
BGIBMGA004980-PA pra547.49 nscaf2822 938240 948524 25 25.3
BGIBMGA004981-PA pra547.51 nscaf2822 950484 952717 25 25.3
BGIBMGA004982-PA pra547.44 nscaf2822 957277 958095 25 25.3
BGIBMGA004983-PA pra547.40 nscaf2822 1012793 1014134 25 25.3
BGIBMGA004984-PA pra547.37 nscaf2822 1048939 1055184 25 25.3
BGIBMGA004985-PA pra547.31 nscaf2822 1140363 1141890 25 25.3
BGIBMGA004986-PA pra547.25 nscaf2822 1163422 1170197 25 25.3
BGIBMGA004987-PA pra547.24 nscaf2822 1177219 1185495 25 25.3
BGIBMGA004988-PA pra547.22 nscaf2822 1282192 1286577 25 25.3
BGIBMGA004990-PA pra547.19 nscaf2822 1389256 1395164 25 25.3
BGIBMGA004991-PA pra547.16 nscaf2822 1419226 1425117 25 25.3
BGIBMGA004992-PA pra547.15 nscaf2822 1434683 1438297 25 25.3
BGIBMGA004993-PA pra246.29 nscaf2822 1466261 1484109 25 25.3
BGIBMGA004993-PA pra246.31 nscaf2822 1466261 1484109 25 25.3
BGIBMGA004993-PA pra246.32 nscaf2822 1466261 1484109 25 25.3
BGIBMGA004994-PA pra246.24 nscaf2822 1534684 1535511 25 25.3
BGIBMGA004996-PA pra246.19 nscaf2822 1567240 1568553 25 25.3
BGIBMGA004997-PA pra246.17 nscaf2822 1579185 1583606 25 25.3
BGIBMGA004998-PA pra246.11 nscaf2822 1639311 1647834 25 25.3
BGIBMGA005001-PA pra246.9 nscaf2822 2031232 2032263 25 25.3
BGIBMGA005002-PA pra246.7 nscaf2822 2094064 2106604 25 25.3
BGIBMGA005003-PA pra246.5 nscaf2822 2122702 2135232 25 25.3
BGIBMGA005005-PA pra236.28 nscaf2823 4254454 4257729 25 25.4
BGIBMGA005006-PA pra236.29 nscaf2823 4248917 4249748 25 25.4
BGIBMGA005008-PA pra236.33 nscaf2823 4197800 4204388 25 25.4
BGIBMGA005008-PA pra236.34 nscaf2823 4197800 4204388 25 25.4
BGIBMGA005010-PA pra236.37 nscaf2823 4165299 4175435 25 25.4
BGIBMGA005011-PA pra236.39 nscaf2823 4145217 4145582 25 25.4
BGIBMGA005014-PA pra547.12 nscaf2823 4075512 4104431 25 25.4
BGIBMGA005015-PA pra547.10 nscaf2823 4024166 4043083 25 25.4
BGIBMGA005016-PA pra547.8 nscaf2823 3927848 3931978 25 25.4
BGIBMGA005019-PA pra547.7 nscaf2823 3879929 3888401 25 25.4
BGIBMGA005022-PA pra547.4 nscaf2823 3758599 3768875 25 25.4
BGIBMGA005023-PA pra691.10 nscaf2823 3686203 3688289 25 25.4
BGIBMGA005024-PA pra547.1 nscaf2823 3669255 3671587 25 25.4
BGIBMGA005025-PA pra111.2 nscaf2823 3666438 3667349 25 25.4
BGIBMGA005025-PA pra2098.2 nscaf2823 3666438 3667349 25 25.4
BGIBMGA005029-PA pra2098.1 nscaf2823 3480746 3495706 25 25.4
BGIBMGA005029-PA pra729.9 nscaf2823 3480746 3495706 25 25.4
BGIBMGA005035-PA pra729.11 nscaf2823 3039980 3042193 25 25.4
BGIBMGA005036-PA pra729.8 nscaf2823 3032818 3038922 25 25.4
BGIBMGA005037-PA pra18.15 nscaf2823 3014996 3026850 25 25.4
BGIBMGA005037-PA pra729.6 nscaf2823 3014996 3026850 25 25.4
BGIBMGA005038-PA pra729.10 nscaf2823 2995004 2998428 25 25.4
BGIBMGA005039-PA pra729.4 nscaf2823 2988701 2992989 25 25.4
BGIBMGA005040-PA pra729.3 nscaf2823 2985029 2985994 25 25.4
BGIBMGA005041-PA pra192.1 nscaf2823 2956241 2974808 25 25.4
BGIBMGA005041-PA pra729.1 nscaf2823 2956241 2974808 25 25.4
BGIBMGA005042-PA pra192.3 nscaf2823 2942108 2947701 25 25.4
BGIBMGA005042-PA pra192.4 nscaf2823 2942108 2947701 25 25.4
BGIBMGA005043-PA pra192.44 nscaf2823 2921303 2922298 25 25.4
